session_id,customer_id,session_timestamp,device_type,pages_viewed,session_duration_seconds
20260917-PM-S00001,243.0,2026-09-17 05:52:00,Desktop,1,408
20260917-PM-S00002,187.0,2026-09-17 14:23:00,Desktop,11,1200
20260917-PM-S00003,148.0,2026-09-17 09:23:00,Mobile,10,1443
20260917-PM-S00004,116.0,2026-09-17 20:39:00,Desktop,5,1184
20260917-PM-S00005,185.0,2026-09-17 07:39:00,Desktop,2,1637
20260917-PM-S00006,5.0,2026-09-17 10:13:00,Mobile,10,1182
20260917-PM-S00007,139.0,2026-09-17 23:37:00,Mobile,10,1245
20260917-PM-S00008,118.0,2026-09-17 03:58:00,Mobile,12,838
20260917-PM-S00009,81.0,2026-09-17 06:48:00,Tablet,9,272
20260917-PM-S00010,249.0,2026-09-17 13:56:00,Mobile,10,1061
20260917-PM-S00011,254.0,2026-09-17 05:59:00,Desktop,11,1274
20260917-PM-S00012,129.0,2026-09-17 23:31:00,Tablet,1,1127
20260917-PM-S00013,268.0,2026-09-17 10:54:00,Tablet,14,549
20260917-PM-S00014,,2026-09-17 23:23:00,Tablet,15,632
20260917-PM-S00015,40.0,2026-09-17 21:24:00,Mobile,5,1729
20260917-PM-S00016,162.0,2026-09-17 08:27:00,Desktop,9,1498
20260917-PM-S00017,71.0,2026-09-17 01:07:00,Tablet,8,45
20260917-PM-S00018,56.0,2026-09-17 04:44:00,Mobile,4,1436
20260917-PM-S00019,208.0,2026-09-17 20:36:00,Tablet,6,1738
20260917-PM-S00020,99.0,2026-09-17 10:11:00,Desktop,5,356
20260917-PM-S00021,149.0,2026-09-17 02:05:00,Desktop,13,1754
20260917-PM-S00022,241.0,2026-09-17 06:24:00,Tablet,3,240
20260917-PM-S00023,,2026-09-17 15:26:00,Desktop,13,48
20260917-PM-S00024,62.0,2026-09-17 05:27:00,Desktop,2,1615
20260917-PM-S00025,15.0,2026-09-17 07:59:00,Tablet,5,173
20260917-PM-S00026,9.0,2026-09-17 19:04:00,Desktop,13,1789
20260917-PM-S00027,261.0,2026-09-17 12:49:00,Mobile,8,1065
20260917-PM-S00028,152.0,2026-09-17 19:04:00,Desktop,5,1781
20260917-PM-S00029,33.0,2026-09-17 13:06:00,Desktop,5,1592
20260917-PM-S00030,205.0,2026-09-17 11:00:00,Tablet,13,109
20260917-PM-S00031,94.0,2026-09-17 06:47:00,Desktop,4,1438
20260917-PM-S00032,75.0,2026-09-17 00:12:00,Desktop,9,480
20260917-PM-S00033,128.0,2026-09-17 17:45:00,Tablet,5,528
20260917-PM-S00034,200.0,2026-09-17 16:14:00,Mobile,14,716
20260917-PM-S00035,127.0,2026-09-17 22:33:00,Tablet,5,811
20260917-PM-S00036,191.0,2026-09-17 04:30:00,Tablet,11,1144
20260917-PM-S00037,289.0,2026-09-17 00:21:00,Tablet,6,1609
20260917-PM-S00038,128.0,2026-09-17 18:21:00,Desktop,7,1499
20260917-PM-S00039,207.0,2026-09-17 15:28:00,Tablet,13,594
20260917-PM-S00040,253.0,2026-09-17 05:27:00,Mobile,10,1397
20260917-PM-S00041,101.0,2026-09-17 13:30:00,Mobile,2,651
20260917-PM-S00042,56.0,2026-09-17 17:26:00,Tablet,7,883
20260917-PM-S00043,173.0,2026-09-17 15:58:00,Desktop,6,996
20260917-PM-S00044,201.0,2026-09-17 12:18:00,Tablet,10,1748
