order_id,customer_id,product_id,store_id,order_timestamp,quantity,order_status
20260917-PM-0001,58,49,1,2026-09-17 02:03:00,1,Completed
20260917-PM-0002,64,56,4,2026-09-17 01:46:00,1,Completed
20260917-PM-0003,219,43,2,2026-09-17 09:24:00,1,Completed
20260917-PM-0004,14,23,4,2026-09-17 10:07:00,3,Completed
20260917-PM-0005,4,13,1,2026-09-17 13:11:00,2,Completed
20260917-PM-0006,85,80,2,2026-09-17 16:19:00,1,Completed
20260917-PM-0007,126,57,1,2026-09-17 04:57:00,3,Completed
20260917-PM-0008,257,12,1,2026-09-17 03:29:00,1,Completed
20260917-PM-0009,243,36,1,2026-09-17 18:05:00,2,Completed
20260917-PM-0010,148,59,1,2026-09-17 03:09:00,1,Completed
20260917-PM-0011,47,38,4,2026-09-17 05:29:00,2,Completed
20260917-PM-0012,55,75,4,2026-09-17 16:58:00,2,Completed
20260917-PM-0013,13,54,4,2026-09-17 06:04:00,1,Completed
20260917-PM-0014,189,53,2,2026-09-17 23:53:00,2,Completed
20260917-PM-0015,16,69,1,2026-09-17 02:43:00,4,Completed
20260917-PM-0016,224,22,1,2026-09-17 16:51:00,1,Completed
20260917-PM-0017,102,77,4,2026-09-17 11:02:00,2,Completed
20260917-PM-0018,57,39,1,2026-09-17 01:44:00,4,Completed
20260917-PM-0019,291,12,4,2026-09-17 09:32:00,1,Completed
20260917-PM-0020,101,64,4,2026-09-17 22:51:00,2,Returned
20260917-PM-0021,11,73,2,2026-09-17 06:10:00,3,Completed
20260917-PM-0022,64,35,3,2026-09-17 11:52:00,4,Cancelled
20260917-PM-0023,259,23,3,2026-09-17 20:24:00,4,Completed
20260917-PM-0024,207,63,4,2026-09-17 06:55:00,1,Completed
20260917-PM-0025,259,62,1,2026-09-17 01:12:00,4,Completed
20260917-PM-0026,220,23,3,2026-09-17 11:37:00,1,Completed
20260917-PM-0027,21,21,2,2026-09-17 04:44:00,1,Completed
20260917-PM-0028,240,78,1,2026-09-17 19:05:00,1,Completed
20260917-PM-0029,39,23,4,2026-09-17 16:39:00,1,Completed
20260917-PM-0030,6,35,4,2026-09-17 10:56:00,3,Completed
20260917-PM-0031,206,56,1,2026-09-17 13:11:00,4,Cancelled
20260917-PM-0032,203,30,1,2026-09-17 07:47:00,4,Completed
20260917-PM-0033,140,35,2,2026-09-17 11:06:00,2,Completed
20260917-PM-0034,181,26,1,2026-09-17 11:39:00,1,Cancelled
20260917-PM-0035,103,41,2,2026-09-17 07:27:00,1,Completed
20260917-PM-0036,269,27,3,2026-09-17 07:08:00,3,Completed
20260917-PM-0037,16,70,4,2026-09-17 04:05:00,1,Completed
20260917-PM-0038,47,11,1,2026-09-17 08:25:00,1,Completed
20260917-PM-0039,40,41,2,2026-09-17 02:24:00,1,Completed
20260917-PM-0040,172,46,3,2026-09-17 07:16:00,1,Completed
20260917-PM-0041,198,80,4,2026-09-17 02:52:00,4,Completed
20260917-PM-0042,103,41,2,2026-09-17 11:10:00,3,Completed
20260917-PM-0043,123,31,3,2026-09-17 19:24:00,2,Completed
20260917-PM-0044,110,62,1,2026-09-17 19:36:00,2,Returned
20260917-PM-0045,33,9,4,2026-09-17 14:26:00,3,Cancelled
20260917-PM-0046,286,60,2,2026-09-17 00:17:00,2,Completed
20260917-PM-0047,300,19,3,2026-09-17 23:47:00,4,Completed
20260917-PM-0048,126,11,4,2026-09-17 17:32:00,4,Completed
20260917-PM-0049,107,78,1,2026-09-17 14:45:00,2,Cancelled
20260917-PM-0050,259,47,2,2026-09-17 10:19:00,1,Completed
20260917-PM-0051,128,58,3,2026-09-17 21:27:00,3,Completed
20260917-PM-0052,86,61,4,2026-09-17 00:59:00,4,Completed
20260917-PM-0053,250,55,4,2026-09-17 18:37:00,2,Completed
20260917-PM-0054,277,42,1,2026-09-17 03:43:00,1,Completed
20260917-PM-0055,85,54,4,2026-09-17 23:18:00,2,Completed
20260917-PM-0056,261,40,2,2026-09-17 11:43:00,1,Completed
20260917-PM-0057,131,42,1,2026-09-17 15:55:00,4,Cancelled
20260917-PM-0058,155,14,1,2026-09-17 08:27:00,4,Completed
20260917-PM-0059,45,49,3,2026-09-17 10:52:00,2,Completed
20260917-PM-0060,13,8,2,2026-09-17 04:07:00,2,Completed
20260917-PM-0061,204,50,1,2026-09-17 11:55:00,4,Completed
20260917-PM-0062,118,4,2,2026-09-17 21:35:00,3,Completed
20260917-PM-0063,123,77,4,2026-09-17 05:00:00,1,Completed
20260917-PM-0064,246,35,4,2026-09-17 03:46:00,1,Completed
20260917-PM-0065,109,2,2,2026-09-17 00:41:00,3,Completed
20260917-PM-0066,103,67,4,2026-09-17 08:51:00,2,Completed
20260917-PM-0067,154,30,1,2026-09-17 02:49:00,3,Completed
20260917-PM-0068,225,35,2,2026-09-17 22:50:00,1,Completed
20260917-PM-0069,268,16,2,2026-09-17 11:59:00,4,Completed
20260917-PM-0070,233,9,2,2026-09-17 01:14:00,1,Completed
20260917-PM-0071,289,73,3,2026-09-17 19:15:00,2,Completed
20260917-PM-0072,40,25,2,2026-09-17 09:48:00,1,Cancelled
20260917-PM-0073,98,26,3,2026-09-17 08:42:00,3,Completed
20260917-PM-0074,249,71,4,2026-09-17 08:14:00,3,Cancelled
20260917-PM-0075,174,16,4,2026-09-17 15:12:00,3,Returned
